"gene_id","gene_name","genome"
"ENSG00000007545","CRAMP1","hg38"
"ENSG00000060971","ACAA1","hg38"
"ENSG00000065057","NTHL1","hg38"
"ENSG00000090615","GOLGA3","hg38"
"ENSG00000100024","UPB1","hg38"
"ENSG00000100228","RAB36","hg38"
"ENSG00000101639","CEP192","hg38"
"ENSG00000105372","RPS19","hg38"
"ENSG00000105426","PTPRS","hg38"
"ENSG00000105694","ELOCP28","hg38"
"ENSG00000106246","PTCD1","hg38"
"ENSG00000108342","CSF3","hg38"
"ENSG00000108830","RND2","hg38"
"ENSG00000110880","CORO1C","hg38"
"ENSG00000111328","CDK2AP1","hg38"
"ENSG00000111801","BTN3A3","hg38"
"ENSG00000113758","DBN1","hg38"
"ENSG00000113838","TBCCD1","hg38"
"ENSG00000115884","SDC1","hg38"
"ENSG00000120498","TEX11","hg38"
"ENSG00000120549","KIAA1217","hg38"
"ENSG00000123091","RNF11","hg38"
"ENSG00000123594","ATXN3L","hg38"
"ENSG00000124496","TRERF1","hg38"
"ENSG00000125533","BHLHE23","hg38"
"ENSG00000129932","DOHH","hg38"
"ENSG00000130349","C6orf203","hg38"
"ENSG00000131116","ZNF428","hg38"
"ENSG00000131378","RFTN1","hg38"
"ENSG00000133997","MED6","hg38"
"ENSG00000138379","MSTN","hg38"
"ENSG00000139910","NOVA1","hg38"
"ENSG00000140367","UBE2Q2","hg38"
"ENSG00000142677","IL22RA1","hg38"
"ENSG00000148498","PARD3","hg38"
"ENSG00000148602","LRIT1","hg38"
"ENSG00000153201","RANBP2","hg38"
"ENSG00000156463","SH3RF2","hg38"
"ENSG00000156711","MAPK13","hg38"
"ENSG00000156976","EIF4A2","hg38"
"ENSG00000162374","ELAVL4","hg38"
"ENSG00000163217","BMP10","hg38"
"ENSG00000163734","CXCL3","hg38"
"ENSG00000163874","ZC3H12A","hg38"
"ENSG00000164893","SLC7A13","hg38"
"ENSG00000166402","TUB","hg38"
"ENSG00000167105","TMEM92","hg38"
"ENSG00000167766","ZNF83","hg38"
"ENSG00000167900","TK1","hg38"
"ENSG00000167987","VPS37C","hg38"
"ENSG00000169006","NTSR2","hg38"
"ENSG00000170293","CMTM8","hg38"
"ENSG00000170961","HAS2","hg38"
"ENSG00000171135","JAGN1","hg38"
"ENSG00000171970","ZNF57","hg38"
"ENSG00000174564","IL20RB","hg38"
"ENSG00000174937","OR5M3","hg38"
"ENSG00000176383","B3GNT4","hg38"
"ENSG00000176454","LPCAT4","hg38"
"ENSG00000176605","C14orf177","hg38"
"ENSG00000178826","TMEM139","hg38"
"ENSG00000178999","AURKB","hg38"
"ENSG00000181123","AC004832.1","hg38"
"ENSG00000182324","KCNJ14","hg38"
"ENSG00000184507","NUTM1","hg38"
"ENSG00000186543","CROCCP5","hg38"
"ENSG00000188691","OR56A5","hg38"
"ENSG00000189339","SLC35E2B","hg38"
"ENSG00000197044","ZNF441","hg38"
"ENSG00000197177","ADGRA1","hg38"
"ENSG00000197451","HNRNPAB","hg38"
"ENSG00000197969","VPS13A","hg38"
"ENSG00000198538","ZNF28","hg38"
"ENSG00000198739","LRRTM3","hg38"
"ENSG00000198938","MT-CO3","hg38"
"ENSG00000199609","RNA5SP124","hg38"
"ENSG00000199934","RF00136","hg38"
"ENSG00000201223","RNU6-1305P","hg38"
"ENSG00000202056","RNA5SP19","hg38"
"ENSG00000202167","RNU1-114P","hg38"
"ENSG00000202222","RF00019","hg38"
"ENSG00000203897","SPATA42","hg38"
"ENSG00000203965","EFCAB7","hg38"
"ENSG00000204183","GDF5OS","hg38"
"ENSG00000204323","SMIM5","hg38"
"ENSG00000204860","FAM201A","hg38"
"ENSG00000206907","RNU6-1013P","hg38"
"ENSG00000206932","RNU6-4P","hg38"
"ENSG00000210082","MT-RNR2","hg38"
"ENSG00000210107","MT-TQ","hg38"
"ENSG00000210117","MT-TW","hg38"
"ENSG00000210176","MT-TH","hg38"
"ENSG00000211806","TRAV25","hg38"
"ENSG00000212176","RNA5SP207","hg38"
"ENSG00000212342","RF00586","hg38"
"ENSG00000213218","CSH2","hg38"
"ENSG00000214195","HMGN2P31","hg38"
"ENSG00000215583","ASS1P6","hg38"
"ENSG00000218274","AL121949.2","hg38"
"ENSG00000220660","AL023284.3","hg38"
"ENSG00000222429","RNU6-955P","hg38"
"ENSG00000222733","RNY4P29","hg38"
"ENSG00000223442","TH2LCRR","hg38"
"ENSG00000223536","AC008164.1","hg38"
"ENSG00000223657","KRT8P51","hg38"
"ENSG00000223741","PSMD4P1","hg38"
"ENSG00000224646","AC007387.1","hg38"
"ENSG00000225792","AC004540.2","hg38"
"ENSG00000225860","LINC02072","hg38"
"ENSG00000226308","AL122058.1","hg38"
"ENSG00000226785","AC068599.1","hg38"
"ENSG00000227209","WARS2P1","hg38"
"ENSG00000227479","AC124861.1","hg38"
"ENSG00000227722","AL022100.1","hg38"
"ENSG00000227764","LINC01693","hg38"
"ENSG00000228156","AL133343.1","hg38"
"ENSG00000228814","AC017007.1","hg38"
"ENSG00000228838","AL355483.2","hg38"
"ENSG00000229798","KRT18P26","hg38"
"ENSG00000229853","AL034418.1","hg38"
"ENSG00000230079","STK24P1","hg38"
"ENSG00000230806","SRGAP2-AS1","hg38"
"ENSG00000231144","EEF1A1P40","hg38"
"ENSG00000231494","AC104634.1","hg38"
"ENSG00000232044","LINC01105","hg38"
"ENSG00000232097","AC079781.3","hg38"
"ENSG00000232777","MRPL51P2","hg38"
"ENSG00000233548","CYCSP44","hg38"
"ENSG00000234184","LINC01781","hg38"
"ENSG00000234744","USP9YP26","hg38"
"ENSG00000234880","LINC00163","hg38"
"ENSG00000235450","AC079760.1","hg38"
"ENSG00000235819","AL158828.1","hg38"
"ENSG00000236238","AC093106.1","hg38"
"ENSG00000236268","LINC01361","hg38"
"ENSG00000236365","AL008987.1","hg38"
"ENSG00000237432","RPS7P12","hg38"
"ENSG00000237525","AC012668.3","hg38"
"ENSG00000238013","AC109583.1","hg38"
"ENSG00000238172","RPS2P35","hg38"
"ENSG00000238754","SCARNA18B","hg38"
"ENSG00000238924","RNU7-82P","hg38"
"ENSG00000239589","LINC00879","hg38"
"ENSG00000239939","RPSAP34","hg38"
"ENSG00000240143","AL023653.1","hg38"
"ENSG00000240393","AC092691.2","hg38"
"ENSG00000240540","RPL3P9","hg38"
"ENSG00000241552","RN7SL58P","hg38"
"ENSG00000241666","AL031733.2","hg38"
"ENSG00000241777","AC092185.1","hg38"
"ENSG00000242021","AC112493.1","hg38"
"ENSG00000242113","RN7SL124P","hg38"
"ENSG00000242142","SERBP1P3","hg38"
"ENSG00000242222","AC092989.1","hg38"
"ENSG00000243029","RN7SL635P","hg38"
"ENSG00000243385","AC094085.1","hg38"
"ENSG00000244196","PPIAP15","hg38"
"ENSG00000247626","MARS2","hg38"
"ENSG00000248211","TRPC7-AS1","hg38"
"ENSG00000248627","AC095059.1","hg38"
"ENSG00000248674","RBBP4P6","hg38"
"ENSG00000248870","AC026782.2","hg38"
"ENSG00000249274","PDLIM1P4","hg38"
"ENSG00000249403","AC008413.2","hg38"
"ENSG00000249519","LINC01438","hg38"
"ENSG00000249764","AC114811.1","hg38"
"ENSG00000250327","RPSAP70","hg38"
"ENSG00000250821","EXOC1L","hg38"
"ENSG00000251666","ZNF346-IT1","hg38"
"ENSG00000251789","RNU4-57P","hg38"
"ENSG00000252188","RF00561","hg38"
"ENSG00000252362","RNU6-506P","hg38"
"ENSG00000252385","RNU6-68P","hg38"
"ENSG00000252744","RF00019","hg38"
"ENSG00000253449","AC025437.3","hg38"
"ENSG00000253744","AC025442.1","hg38"
"ENSG00000253779","IGLVVI-25-1","hg38"
"ENSG00000253915","MAPRE1P1","hg38"
"ENSG00000254592","AC123788.1","hg38"
"ENSG00000254692","AL136295.1","hg38"
"ENSG00000254835","RNF185-AS1","hg38"
"ENSG00000255282","WTAPP1","hg38"
"ENSG00000255390","AC091564.4","hg38"
"ENSG00000255547","RPA2P3","hg38"
"ENSG00000256892","MTRNR2L7","hg38"
"ENSG00000256925","ADGRA1-AS1","hg38"
"ENSG00000257645","AC087897.1","hg38"
"ENSG00000257730","LSM6P2","hg38"
"ENSG00000258402","AC016526.1","hg38"
"ENSG00000258545","RHOXF1-AS1","hg38"
"ENSG00000258585","ZNF519P3","hg38"
"ENSG00000259092","TRAV30","hg38"
"ENSG00000259554","AC084882.1","hg38"
"ENSG00000259691","FKBP1AP2","hg38"
"ENSG00000260196","AC124798.1","hg38"
"ENSG00000260818","UNGP1","hg38"
"ENSG00000261136","AC023908.3","hg38"
"ENSG00000261499","AC233699.1","hg38"
"ENSG00000263041","AL513324.1","hg38"
"ENSG00000263301","AC113189.3","hg38"
"ENSG00000263450","AC090371.1","hg38"
"ENSG00000264192","RN7SL117P","hg38"
"ENSG00000265408","AC009084.1","hg38"
"ENSG00000266133","MIR4759","hg38"
"ENSG00000266718","AC079336.5","hg38"
"ENSG00000266896","AL354892.3","hg38"
"ENSG00000267095","AC025048.1","hg38"
"ENSG00000267429","AC006116.6","hg38"
"ENSG00000267555","AC008805.2","hg38"
"ENSG00000267744","AC022916.3","hg38"
"ENSG00000267760","AC011478.1","hg38"
"ENSG00000267762","AC048380.1","hg38"
"ENSG00000268279","AC090004.1","hg38"
"ENSG00000268834","OR7A1P","hg38"
"ENSG00000269118","FAM90A28P","hg38"
"ENSG00000269303","AC020907.3","hg38"
"ENSG00000269929","AL158152.1","hg38"
"ENSG00000270187","IGKV1OR2-11","hg38"
"ENSG00000270230","MTND6P22","hg38"
"ENSG00000270460","AC106900.2","hg38"
"ENSG00000270767","AL356157.2","hg38"
"ENSG00000271181","Z99916.2","hg38"
"ENSG00000271361","HTATSF1P2","hg38"
"ENSG00000271589","AL139395.1","hg38"
"ENSG00000271616","AC055876.6","hg38"
"ENSG00000271788","AC008875.1","hg38"
"ENSG00000272763","AC103702.2","hg38"
"ENSG00000272910","AC090425.2","hg38"
"ENSG00000273700","MIR6760","hg38"
"ENSG00000274466","MIR1273H","hg38"
"ENSG00000274862","RF00004","hg38"
"ENSG00000274986","MIR6750","hg38"
"ENSG00000275480","AC131055.2","hg38"
"ENSG00000275616","RF00004","hg38"
"ENSG00000276071","AC074138.1","hg38"
"ENSG00000276103","RF00015","hg38"
"ENSG00000276524","AC010999.2","hg38"
"ENSG00000276535","AL353726.1","hg38"
"ENSG00000276651","AC007950.2","hg38"
"ENSG00000276746","RF00017","hg38"
"ENSG00000278287","RF02109","hg38"
"ENSG00000278791","MIR6723","hg38"
"ENSG00000279462","AC093028.1","hg38"
"ENSG00000280067","AC023818.1","hg38"
"ENSG00000280082","AF246928.1","hg38"
"ENSG00000280187","AC022107.1","hg38"
"ENSG00000280799","DUX4L5","hg38"
"ENSG00000283196","AC006453.2","hg38"
"ENSG00000283326","MIR6860","hg38"
"ENSG00000284906","AC091057.6","hg38"
